Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
PAPSS2	5.675443366322164e-20	-0.36823568396160233	0.043	0.125	2.0706855122026418e-15	TRUE	Other	14.683885855083439
EVI2B	5.936853619863906e-20	0.4095896447526597	0.62	0.477	2.166061043207346e-15	TRUE	Other	14.664329308396503
COX4I1	6.066828878089448e-20	0.2683498251144605	0.911	0.899	2.2134825161709344e-15	TRUE	Other	14.654923904071614
TGFB1	8.778766543781875e-20	0.4013016090847641	0.634	0.512	3.202932973498817e-15	TRUE	Other	14.494452149548536
AC245014.3	1.0287494801397504e-19	0.43362176866095625	0.263	0.145	3.753392478289879e-15	TRUE	Other	14.425576020653923
SNHG5	1.030686612495754e-19	0.47234475863867864	0.689	0.656	3.7604601056907585e-15	TRUE	Other	14.424759014344238
RIT1	1.4021586928289113e-19	-0.3444491077316989	0.294	0.431	5.1157759907862825e-15	TRUE	Other	14.2910884806311
SELENOS	1.4767117008528114e-19	-0.3859423326013909	0.57	0.672	5.3877826405614825e-15	TRUE	Other	14.268589933347876
SEC23B	2.424453482346124e-19	-0.26370316146269435	0.037	0.114	8.845618530339833e-15	TRUE	Other	14.053271793628031
TAOK3	2.696844912106513e-19	-0.3271437144044672	0.153	0.272	9.839438661820611e-15	TRUE	Other	14.00702967728285
PDE4DIP	3.375158739645215e-19	-0.38510683615397223	0.617	0.725	1.2314266661595566e-14	TRUE	Other	13.909591446131449
IDO1	5.828140132300324e-19	-0.5745222866413555	0.04	0.115	2.1263969272697733e-14	TRUE	Other	13.672355663974116
HDLBP	9.02247242712672e-19	-0.2778008481368154	0.132	0.245	3.2918490650371836e-14	TRUE	Other	13.482560085891187
CD37	9.244340613255436e-19	0.4196315667562436	0.51	0.373	3.3727976727462463e-14	TRUE	Other	13.472009710469663
IGHA1	1.236791431603516e-18	0.4168570865696192	0.055	0.007	4.5124335382054295e-14	TRUE	Other	13.345589181585611
SLCO3A1	2.5060177825437924e-18	0.46713244461612025	0.494	0.385	9.143205879611026e-14	TRUE	Other	13.038901501016054
SLC39A7	2.750575362951182e-18	-0.2054698391890851	0.049	0.13	1.0035474211727389e-13	FALSE	Other	12.99846210073798
NAB1	3.032882651585625e-18	-0.31523419520458	0.117	0.221	1.1065472354310155e-13	TRUE	Other	12.956030042514682
H1FX	3.2033851399080193e-18	0.48984367292710296	0.328	0.208	1.168755068295441e-13	TRUE	Other	12.932276492801376
RAB10	3.2573827376955156e-18	-0.3515576545742035	0.185	0.301	1.1884560918482092e-13	TRUE	Other	12.925016858883456
FNDC3B	3.3276118330010686e-18	-0.4238805363457101	0.578	0.683	1.21407917727044e-13	TRUE	Other	12.915752989430157
S100A11	3.891080819281807e-18	0.23375601985804284	0.967	0.976	1.4196608369149674e-13	FALSE	Other	12.847815398046377
ACTG1	4.009014016545267e-18	0.30161891070248226	0.807	0.749	1.4626887639365405e-13	TRUE	Other	12.834848074752804
ARF4	4.8839959275326365e-18	-0.3583232730105126	0.428	0.552	1.781925914160283e-13	TRUE	Other	12.74911035627009
CRIM1	5.013779433788042e-18	-0.32982364275907183	0.055	0.138	1.8292774264175675e-13	TRUE	Other	12.73772042485408
PSME2	5.52548278334648e-18	0.4799384194205385	0.336	0.223	2.0159723935039633e-13	TRUE	Other	12.695515419364897
FAU	5.6660275318227215e-18	0.194126187014259	0.994	0.986	2.0672501449855206e-13	FALSE	Other	12.68460696893928
PNPLA8	5.786045056995543e-18	-0.3405753860496026	0.442	0.581	2.111038539044824e-13	TRUE	Other	12.675503838155286
EMP3	6.022396820150138e-18	0.2037067480744552	0.958	0.97	2.197271479831778e-13	FALSE	Other	12.65811628130935
HCK	6.381133616513349e-18	-0.3928356504716508	0.229	0.347	2.3281565999848954e-13	TRUE	Other	12.632987810868395
OSBPL8	7.302949169531787e-18	-0.427236621503937	0.588	0.706	2.664481004503673e-13	TRUE	Other	12.574387371564425
CTSL	8.392254674643954e-18	0.3673732325544421	0.728	0.651	3.0619141180438466e-13	TRUE	Other	12.514006994755565
ATP5MC2	8.915988514566554e-18	0.322167882290491	0.624	0.496	3.252998409539608e-13	TRUE	Other	12.487716149053941
BMT2	9.491513735828103e-18	-0.2858784527060877	0.079	0.17	3.462978786516884e-13	TRUE	Other	12.460550168839474
CSF3	1.0143340238548263e-17	-0.9973631757928784	0.199	0.304	3.700797686034334e-13	TRUE	Other	12.431704656120914
DNAJB6	1.0413948514478699e-17	-0.3315294337509327	0.542	0.678	3.799529115507554e-13	TRUE	Other	12.420270223174873
MFSD2A	1.3943201400697382e-17	-0.3904492195979477	0.244	0.361	5.08717703104444e-13	TRUE	Other	12.293523148889589
PGM3	1.5752213096628574e-17	-0.3226598565573442	0.125	0.229	5.747194948304936e-13	TRUE	Other	12.240544071086742
TMED2	2.1255681688509455e-17	-0.30150675366094637	0.32	0.442	7.755135464052676e-13	TRUE	Other	12.110410611676715
ATP13A3	2.5071171052992862e-17	-0.344362732822423	0.618	0.717	9.147216758684446e-13	TRUE	Other	12.038711029454895
EPB41L3	2.5421316027023374e-17	-0.3621310422134372	0.385	0.515	9.274967152459478e-13	TRUE	Other	12.032687619775542
USO1	2.608958328771911e-17	-0.21491026532242052	0.063	0.148	9.51878446252432e-13	FALSE	Other	12.021418506964578
WDR74	4.1526952693071365e-17	0.4012566662120387	0.538	0.44	1.5151108690067088e-12	TRUE	Other	11.819555586279767
RASGRP3	4.9688898142029745e-17	0.3254430441227478	0.102	0.035	1.8128994487119558e-12	TRUE	Other	11.741626283097297
DAPK1	5.472596755924708e-17	-0.4385017207548318	0.107	0.198	1.9966769263991297e-12	TRUE	Other	11.699692200744167
PPIA	6.471796895373419e-17	0.34909469737318455	0.741	0.677	2.361235097276992e-12	TRUE	Other	11.626860770072033
NEAT1	6.651866749779072e-17	0.2276460841152268	0.99	0.977	2.4269335836568947e-12	FALSE	Other	11.614942108565469
HDGF	6.938881631932599e-17	-0.22882181397946175	0.133	0.241	2.531650963410609e-12	FALSE	Other	11.596596170342558
PLAUR	7.342636213689113e-17	-0.3845493875259835	0.697	0.816	2.678960822564473e-12	TRUE	Other	11.572033637518508
CLINT1	7.417666186024368e-17	-0.2510538644222766	0.193	0.316	2.7063355079709913e-12	TRUE	Other	11.567618364342913
GOLGA4	7.470732134157947e-17	-0.26928861216365885	0.324	0.465	2.7256966191475268e-12	TRUE	Other	11.564522484511027
PPP1R15B	1.0645735579264902e-16	-0.3457441626565272	0.333	0.456	3.8840966260947994e-12	TRUE	Other	11.410709974526702
FLOT1	1.0798343374764359e-16	-0.3673034213929369	0.22	0.335	3.939775580282776e-12	TRUE	Other	11.404528515996931
