Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
PLPP5	0.13851397340694044	0.00456471507488759	0.18	0.128	1	Other	-0
PSMB1	0.13884395502980398	-0.00718468436635233	0.56	0.453	1	Other	-0
NBPF12	0.13894594557232362	0.03701222743977705	0.027	0.007	1	Other	-0
ZNF687	0.13894594557232362	0.036631653264538	0.027	0.007	1	Other	-0
NLRP12	0.13896586083708595	-0.03468269037795551	0.013	0.027	1	Other	-0
DUSP3	0.13899638417385451	0.06394898153632717	0.056	0.027	1	Other	-0
ACTN1	0.13903841673020295	0.01906851648345109	0.202	0.149	1	Other	-0
TGFB2	0.13909292061033446	0.03343411068810757	0.027	0.007	1	Other	-0
TRIM11	0.13926365791676626	-0.10104521585354402	0.017	0.034	1	Other	-0
NUDCD2	0.1393025912521323	-0.05090766555705711	0.022	0.041	1	Other	-0
JUN	0.13932154284617668	-1.5703030600076433	0.544	0.486	1	Other	-0
SPRY2	0.13937064308052674	0.04017894924381263	0.084	0.047	1	Other	-0
PCGF1	0.13938722771336776	-0.10130932892485008	0.027	0.007	1	Other	-0
MRPS15	0.13952510822180184	0.06574032227322427	0.099	0.061	1	Other	-0
CD109	0.13968182351753913	-0.3555802455067929	0.51	0.378	1	Other	-0
ALOX5	0.13971079790283053	0.06430981655754918	0.037	0.014	1	Other	-0
PIGT	0.13978288792566576	-0.03146129953091178	0.017	0.034	1	Other	-0
TMED2	0.13987846207351837	-0.04287922213823147	0.34	0.264	1	Other	-0
NSUN4	0.13996338076148493	0.07793144602432699	0.037	0.014	1	Other	-0
MOB1B	0.13999925308900896	0.09325229786052187	0.073	0.041	1	Other	-0
ATP6V1FNB	0.1403090518369056	0.05540216502119072	0.026	0.007	1	Other	-0
RNF141	0.14031551590290745	0.06830685718255053	0.046	0.02	1	Other	-0
CMTM3	0.1404671249769351	-0.2111398736173603	0.055	0.027	1	Other	-0
ZMPSTE24	0.140563133001958	-0.0634023822895249	0.013	0.027	1	Other	-0
SAE1	0.140563133001958	-0.05579430849971989	0.013	0.027	1	Other	-0
TBC1D10C	0.14076378073122747	-0.10800972053041398	0.013	0.027	1	Other	-0
ATP2A2	0.1407654882389675	-0.14498988128971035	0.383	0.297	1	Other	-0
PMAIP1	0.14084391349582026	0.00278230930726852	0.921	0.764	1	Other	-0
MFSD1	0.14092487469833906	0.04035294459085903	0.194	0.142	1	Other	-0
AC022098.1	0.1410554259263487	-0.13655838778984558	0.032	0.054	1	Other	-0
PSMA5	0.14126891791259696	0.02475927549935636	0.178	0.128	1	Other	-0
SNW1	0.14129301641193726	-0.11590635007665252	0.279	0.209	1	Other	-0
RFC2	0.14136704532484243	-0.1925924004630332	0.013	0.027	1	Other	-0
ATP13A3	0.14168850820551657	-0.13959967345033553	0.784	0.615	1	Other	-0
ATP5PD	0.1419196488861177	-0.04149864561594696	0.24	0.182	1	Other	-0
HES6	0.14197229475583714	-0.14365343311666126	0.013	0.027	1	Other	-0
SLF1	0.14197229475583714	-0.03841646787179349	0.013	0.027	1	Other	-0
PCBP2	0.1419932646314569	-0.18438832207089573	0.642	0.514	1	Other	-0
YDJC	0.14199669532738382	0.037932692718148	0.037	0.014	1	Other	-0
